Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque
Lamborghini,Aventador Svj Xago,V12,6498.0,759.0,350.0,2.0,603000.0,Petrol,2,720.0
Lamborghini,Urus Graphite Capsule,V8,3998.0,641.0,305.0,3.0,253000.0,Petrol,5,850.0
Lamborghini,Huracan Sto Evo,V10,5204.0,640.0,325.0,3.0,342000.0,Petrol,2,565.0
Lamborghini,Aventador Lp 780-4 Ultimate Roadster,V12,6498.0,769.0,355.0,2.0,573000.0,Petrol,2,720.0
Rolls Royce,Ghost,V12,6592.0,591.0,250.0,4.0,332000.0,Petrol,5,850.0
Rolls Royce,Wraith,V12,6592.0,624.0,250.0,4.0,330000.0,Petrol,4,870.0
Rolls Royce,Dawn,V12,6592.0,624.0,250.0,4.0,360000.0,Petrol,4,870.0
Rolls Royce,Cullinan,V12,6749.0,563.0,250.0,5.0,325000.0,Petrol,5,850.0
Rolls Royce,Phantom Extended,V12,6749.0,563.0,250.0,5.0,500000.0,Petrol,5,900.0
Rolls Royce,Ghost Extended,V12,6592.0,591.0,250.0,4.0,370000.0,Petrol,5,850.0
Rolls Royce,Wraith Black Badge,V12,6592.0,624.0,250.0,4.0,360000.0,Petrol,4,870.0
Rolls Royce,Dawn Black Badge,V12,6592.0,624.0,250.0,4.0,390000.0,Petrol,4,870.0
Rolls Royce,Cullinan Black Badge,V12,6749.0,563.0,250.0,5.0,350000.0,Petrol,5,850.0
Rolls Royce,Phantom Coupe,V12,6749.0,563.0,250.0,5.0,450000.0,Petrol,4,870.0
Rolls Royce,Ghost Coupe,V12,6592.0,591.0,250.0,4.0,340000.0,Petrol,4,850.0
Rolls Royce,Wraith Coupe,V12,6592.0,624.0,250.0,4.0,330000.0,Petrol,4,870.0
Rolls Royce,Dawn Convertible,V12,6592.0,624.0,250.0,4.0,380000.0,Petrol,4,870.0
Rolls Royce,Cullinan Suv,V12,6749.0,563.0,250.0,5.0,320000.0,Petrol,5,850.0
Mercedes,Benz S-Class S 580,V8,3982.0,496.0,250.0,4.0,116000.0,Petrol,5,700.0
Mercedes,Benz E-Class E 63 S,V8,3982.0,603.0,250.0,3.0,104000.0,Petrol,5,850.0
Mercedes,Benz Cla 45 Amg,I4,1991.0,382.0,250.0,4.0,53000.0,Petrol,5,500.0
Mercedes,Benz Gle 63 S,V8,3982.0,603.0,250.0,4.0,113000.0,Petrol,5,850.0
Mercedes,Benz S-Class S 500,V6,2996.0,429.0,250.0,4.0,109000.0,Petrol,5,700.0
Mercedes,Benz E-Class E 450,V6,2996.0,362.0,250.0,5.0,62000.0,Petrol,5,500.0
Mercedes,Benz Cls 450,V6,2996.0,362.0,250.0,5.0,70000.0,Petrol,5,500.0
Mercedes,Benz Gt 53,V6,2996.0,429.0,250.0,4.0,99000.0,Petrol,5,700.0
Mercedes,Benz Gle 450,V6,2996.0,362.0,250.0,5.0,63000.0,Petrol,5,500.0
Mercedes,Benz A-Class A 45 S,I4,1991.0,416.0,250.0,3.0,53000.0,Petrol,5,500.0
Mercedes,Benz C-Class C 43,V6,2996.0,402.0,250.0,4.0,52000.0,Petrol,5,520.0
Mercedes,Benz E-Class E 350,I4,1991.0,255.0,250.0,5.0,49000.0,Petrol,5,500.0
Mercedes,Benz Gle 350,I4,1991.0,255.0,250.0,6.0,53000.0,Petrol,5,500.0
Mercedes,Benz Glc 43,V6,2996.0,402.0,250.0,4.0,54000.0,Petrol,5,520.0
Mercedes,Benz Gla 45,I4,1991.0,382.0,250.0,4.0,48000.0,Petrol,5,500.0
Mercedes,Benz Glc 350,I4,1991.0,255.0,250.0,6.0,46000.0,Petrol,5,500.0
Mercedes,Benz Gle 53,V6,2996.0,429.0,250.0,5.0,71000.0,Petrol,5,620.0
Mercedes,Benz S-Class S 350,I4,1991.0,255.0,250.0,6.0,90000.0,Petrol,5,500.0
Mercedes,Benz Eqs 53,Electric Motor,Unknown,751.0,250.0,3.0,102000.0,Electric,5,950.0
Mercedes,Benz Maybach S 680,V12,5980.0,630.0,250.0,4.0,200000.0,Petrol,5,1000.0
Bmw,M5 Cs,V8,4395.0,627.0,305.0,3.0,142000.0,Petrol,5,750.0
Bmw,M4 Gts,I6,2993.0,493.0,305.0,3.0,133000.0,Petrol,4,600.0
Bmw,M3 Competition,I6,2993.0,503.0,285.0,3.0,76000.0,Petrol,5,650.0
Bmw,M2 Cs,I6,2993.0,444.0,280.0,4.0,83000.0,Petrol,4,550.0
Bmw,X5 M Competition,V8,4935.0,523.0,285.0,4.0,114000.0,Petrol,5,750.0
Bmw,X3 M Competition,I6,2993.0,503.0,285.0,4.0,69000.0,Petrol,5,650.0
Bmw,M8 Gran Coupe,V8,4395.0,523.0,305.0,3.0,146000.0,Petrol,5,750.0
Bmw,M850I Drive Coupe,V8,4935.0,523.0,285.0,3.0,108000.0,Petrol,4,750.0
Rolls Royce,Dawn Black Badge Volante,V12,6592.0,563.0,250.0,4.0,398000.0,Petrol,4,840.0
Rolls Royce,Cullinan Black Badge Suv,V12,6749.0,563.0,250.0,5.0,381000.0,Petrol,5,850.0
Rolls Royce,Phatom Tranquility,V12,6749.0,563.0,250.0,5.0,475000.0,Petrol,5,900.0
Rolls Royce,Ghost Zenith,V12,6749.0,563.0,250.0,4.0,335000.0,Petrol,5,900.0
Rolls Royce,Wraith Eagle Viii,V12,6592.0,623.0,250.0,4.0,349000.0,Petrol,4,800.0
Rolls Royce,Phatom Orchid,V12,6749.0,563.0,250.0,5.0,495000.0,Petrol,5,900.0
Rolls Royce,Ghost Azure,V12,6749.0,563.0,250.0,4.0,355000.0,Petrol,5,900.0
Rolls Royce,Wraith Kryptos,V12,6592.0,623.0,250.0,4.0,369000.0,Petrol,4,800.0
Rolls Royce,Dawn Silver Bullet,V12,6592.0,563.0,250.0,4.0,418000.0,Petrol,4,840.0
Rolls Royce,Cullinan Fux Orange,V12,6749.0,563.0,250.0,5.0,401000.0,Petrol,5,850.0
Rolls Royce,Phantom Celestial,V12,6749.0,563.0,250.0,5.0,515000.0,Petrol,5,900.0
Rolls Royce,Ghost Mysore,V12,6749.0,563.0,250.0,4.0,375000.0,Petrol,5,900.0
Rolls Royce,Wraith Luminary,V12,6592.0,623.0,250.0,4.0,389000.0,Petrol,4,800.0
Rolls Royce,Dawn Black Badge Adamas,V12,6592.0,563.0,250.0,4.0,439000.0,Petrol,4,840.0
Rolls Royce,Cullinan Red Diamond,V12,6749.0,563.0,250.0,5.0,421000.0,Petrol,5,850.0
Audi,R8 V10 Plus,V10,5204.0,610.0,330.0,3.0,194000.0,Petrol,2,560.0
Audi,Rs7 Sportback,V8,3993.0,591.0,305.0,3.0,114000.0,Petrol,5,800.0
Audi,S8,V8,3993.0,563.0,305.0,4.0,101000.0,Petrol,5,800.0
Audi,Rs6 Avant,V8,3993.0,591.0,305.0,3.0,109000.0,Petrol,5,800.0
Audi,S7 Sportback,V8,3993.0,563.0,305.0,4.0,96000.0,Petrol,5,650.0
Audi,A8,V6,2995.0,335.0,250.0,5.0,86000.0,Petrol,5,600.0
Audi,S5 Coupe,V6,2995.0,349.0,250.0,4.0,64000.0,Petrol,4,500.0
Audi,Sq5,V6,2995.0,349.0,250.0,5.0,62000.0,Petrol,5,500.0
Audi,S4 Sedan,V6,2995.0,349.0,250.0,4.0,59000.0,Petrol,5,500.0
Audi,S3 Sedan,I4,1984.0,306.0,250.0,4.0,52000.0,Petrol,5,400.0
Audi,Q7,V6,2995.0,335.0,250.0,6.0,60000.0,Petrol,7,600.0
Audi,Q5,I4,1984.0,248.0,240.0,6.0,43000.0,Petrol,5,500.0
Audi,A7,V6,2995.0,335.0,250.0,5.0,68000.0,Petrol,5,600.0
Audi,A6,V6,2995.0,335.0,250.0,5.0,58000.0,Petrol,5,600.0
Audi,A5 Coupe,I4,1984.0,248.0,240.0,6.0,45000.0,Petrol,4,500.0
Audi,A4,I4,1984.0,248.0,240.0,6.0,39000.0,Petrol,5,400.0
Audi,Q3,I4,1984.0,248.0,230.0,7.0,35000.0,Petrol,5,400.0
Audi,E-Tron,Electric,95.0,402.0,200.0,5.0,75000.0,Electric,5,664.0
Audi,E-Tron Sportback,Electric,95.0,402.0,200.0,5.0,78000.0,Electric,5,664.0
Audi,Tt Coupe,I4,1984.0,248.0,250.0,5.0,49000.0,Petrol,2,400.0
Bmw,I8 Roadster,Electric Motor,11.0,369.0,250.0,4.0,165000.0,Hybrid,2,570.0
Bmw,330I,I4,1998.0,255.0,250.0,5.0,45000.0,Petrol,5,400.0
Bmw,M340I Xdrive,I6,2998.0,382.0,250.0,4.0,57000.0,Petrol,5,500.0
Bmw,430I Coupe,I4,1998.0,255.0,250.0,5.0,48000.0,Petrol,4,400.0
Bmw,M4 Competition,I6,2993.0,503.0,290.0,3.0,81000.0,Petrol,4,650.0
Bmw,530I,I4,1998.0,248.0,250.0,5.0,57000.0,Petrol,5,400.0
Bmw,M550I Xdrive,V8,4395.0,523.0,250.0,3.0,78000.0,Petrol,5,650.0
Bmw,118I,I3,1499.0,136.0,213.0,8.0,32000.0,Petrol,5,220.0
Bmw,128Ti,I4,1998.0,261.0,250.0,6.0,42000.0,Petrol,5,400.0
Bmw,M135I Xdrive,I4,1998.0,302.0,250.0,4.0,30000.0,Petrol,5,450.0
Bmw,116D,I3,1496.0,116.0,200.0,10.0,30000.0,Diesel,5,280.0
Bmw,120D Xdrive,I4,1995.0,190.0,230.0,6.0,38000.0,Diesel,5,400.0
Bmw,116I,I3,1499.0,109.0,200.0,10.0,28000.0,Petrol,5,200.0
Bmw,118D,I4,1995.0,150.0,216.0,8.0,34000.0,Diesel,5,380.0
Bmw,120I,I4,1998.0,178.0,230.0,7.0,37000.0,Petrol,5,300.0
Bmw,125I,I4,1998.0,224.0,240.0,6.0,42000.0,Petrol,5,400.0
Bmw,114D,I3,1496.0,95.0,185.0,12.0,27000.0,Diesel,5,270.0
Bmw,114I,I4,1598.0,102.0,195.0,11.0,26000.0,Petrol,5,200.0
Bmw,125D,I4,1995.0,224.0,240.0,6.0,44000.0,Diesel,5,400.0
Bmw,118I Xdrive,I3,1499.0,136.0,211.0,8.0,34000.0,Petrol,5,250.0
Bmw,116D Efficientdynamics,I3,1496.0,116.0,200.0,10.0,30000.0,Diesel,5,270.0
Bmw,118I Sportline,I3,1499.0,136.0,213.0,8.0,35000.0,Petrol,5,250.0
Bmw,118I M Sport,I3,1499.0,136.0,213.0,8.0,37000.0,Petrol,5,250.0
Bmw,120I M Sport,I4,1998.0,178.0,230.0,7.0,39000.0,Petrol,5,300.0
Bmw,116I Efficientdynamics,I4,1598.0,109.0,195.0,10.0,29000.0,Petrol,5,200.0
Bmw,116D Advantage,I3,1496.0,116.0,200.0,10.0,31000.0,Diesel,5,270.0
Bmw,120D Efficientdynamics,I4,1995.0,163.0,225.0,7.0,39000.0,Diesel,5,400.0
Bmw,118I Shadow Line,I3,1499.0,136.0,213.0,8.0,36000.0,Petrol,5,250.0
Bmw,118D Sport Line,I4,1995.0,150.0,216.0,8.0,36000.0,Diesel,5,380.0
Bmw,120I Xdrive,I4,1998.0,178.0,230.0,7.0,40000.0,Petrol,5,300.0
Bmw,114D Sport Line,I3,1496.0,95.0,185.0,12.0,28000.0,Diesel,5,270.0
Bmw,118I Urban Line,I3,1499.0,136.0,213.0,8.0,35000.0,Petrol,5,250.0
Volvo,Xc90,I6,1969.0,247.0,200.0,6.0,60000.0,Petrol/Diesel,7,400.0
Volvo,Xc60,I6,1969.0,247.0,220.0,6.0,55000.0,Petrol/Diesel,5,400.0
Volvo,S90,I6,1969.0,295.0,250.0,5.0,60000.0,Petrol/Diesel,5,400.0
Kia,Sportage Lx,I4,2480.0,187.0,200.0,8.0,27000.0,Petrol,5,250.0
Kia,Sportage Ex,I4,2480.0,187.0,200.0,8.0,30000.0,Petrol,5,250.0
Kia,Sportage Gt-Line,I4,2480.0,187.0,200.0,8.0,32000.0,Petrol,5,350.0
Kia,Sportage Sx Turbo,I4,1998.0,240.0,210.0,6.0,36000.0,Petrol,5,400.0
Kia,Sportage Nightfall Edition,I4,2480.0,187.0,200.0,8.0,33000.0,Petrol,5,350.0
Honda,Civic Type R,I4,1996.0,315.0,272.0,5.0,44000.0,Petrol,5,400.0
Kia,Sportage Phev,I4 + Electric,1600.0,261.0,180.0,8.0,41000.0,Plug-in Hybrid,5,350.0
Kia,Sportage 2024(Base Model),I4,2480.0,187.0,200.0,8.0,26000.0,Petrol,5,250.0
Kia,Sportage 2024(Top Trim),I4,1998.0,240.0,210.0,6.0,38000.0,Petrol,5,400.0
Kia,Sportage 2024(Base Awd),I4,2480.0,187.0,200.0,8.0,29000.0,Petrol/AWD,5,250.0
Kia,Sportage X-Line,I4,2480.0,187.0,200.0,8.0,32500.0,Petrol,5,350.0
Kia,Sportage 2024(S Trim),I4,2480.0,187.0,200.0,8.0,28000.0,Petrol,5,250.0
Honda,Accord,I4,1498.0,192.0,201.0,7.0,29400.0,Petrol,5,370.0
Kia,Sportage 2024(Hybrid Awd),I4 + Electric,1600.0,227.0,180.0,8.0,37000.0,Hybrid,5,350.0
Kia,Sportage 2024(Plug-In Hybrid Awd),I4 + Electric,1598.0,261.0,180.0,7.0,42000.0,Plug-in Hybrid,5,350.0
Kia,Sportage 2024(X-Pro),I4,2480.0,187.0,200.0,8.0,36000.0,Petrol,5,400.0
Kia,Sportage 2024(X-Pro Prestige),I4,2480.0,187.0,200.0,8.0,38000.0,Petrol,5,400.0
Kia,Sportage 2024(Sx Turbo Awd),I4,1998.0,240.0,210.0,6.0,40000.0,Petrol/AWD,5,400.0
Kia,Sportage 2024(Base Fwd),I4,2480.0,187.0,200.0,8.0,26500.0,Petrol,5,250.0
Honda,Cr-V,I4,1498.0,190.0,186.0,8.0,30000.0,Petrol/Hybrid,5,400.0
Honda,Pilot,V6,3471.0,285.0,209.0,6.0,40000.0,Petrol,8,360.0
Honda,Civic Hatchback,I4,1498.0,180.0,220.0,6.0,26350.0,Petrol,5,300.0
Toyota,Camry,V6,3500.0,301.0,220.0,6.0,27000.0,Petrol/Hybrid,5,250.0
Toyota,Corolla,I4,1798.0,139.0,180.0,9.0,22500.0,Petrol/Hybrid,5,200.0
Toyota,Prius,I4,1798.0,121.0,180.0,10.0,26700.0,Hybrid,5,142.0
Toyota,Rav4,I4,2494.0,203.0,200.0,8.0,27100.0,Petrol/Hybrid,5,400.0
Toyota,Highlander,V6,3456.0,295.0,220.0,7.0,38400.0,Petrol/Hybrid,7,370.0
Toyota,4Runner,V6,3956.0,270.0,200.0,7.0,37400.0,Petrol,5,400.0
Toyota,Tacoma,I4,2694.0,159.0,180.0,9.0,26400.0,Petrol,5,400.0
Toyota,Tundra,V8,5663.0,381.0,220.0,6.0,39900.0,Petrol,5,650.0
Toyota,Avalon,V6,3456.0,301.0,220.0,6.0,41400.0,Petrol,5,400.0
Toyota,Mirai,I4,1798.0,151.0,180.0,9.0,52400.0,Hydrogen,5,335.0
Toyota,Sienna,V6,2494.0,245.0,190.0,8.0,44150.0,Petrol/Hybrid,7,360.0
Toyota,Venza,I4,2494.0,219.0,200.0,7.0,33400.0,Hybrid,5,400.0
Toyota,Highlander Hybrid,V6,3456.0,240.0,220.0,8.0,40400.0,Hybrid,7,350.0
Toyota,Land Cruiser Prado,V6,3956.0,282.0,200.0,7.0,49400.0,Petrol/Diesel,7,450.0
Toyota,Tundra Hybrid,V6,3456.0,344.0,220.0,6.0,43400.0,Hybrid,5,650.0
Toyota,Yaris,I4,1496.0,106.0,180.0,11.0,18400.0,Petrol,5,150.0
Toyota,C-Hr,I4,1986.0,144.0,200.0,10.0,24400.0,Petrol/Hybrid,5,250.0
Toyota,Bz4X,Electric,64.0,218.0,200.0,7.0,43400.0,Electric,5,330.0
Toyota,Crown,Hybrid,2494.0,236.0,200.0,7.0,38400.0,Hybrid,5,400.0
Toyota,Mr2,I4,1986.0,168.0,200.0,6.0,29000.0,Petrol,2,400.0
Toyota,Celica,I4,1986.0,140.0,200.0,8.0,25000.0,Petrol,5,250.0
Honda,City,I4,1497.0,119.0,180.0,10.0,15400.0,Petrol/Hybrid,5,145.0
Honda,Civic,I4,1996.0,158.0,200.0,8.0,20400.0,Petrol,5,400.0
Hyundai,I10,"1.2L,4-Cylinder,Inline-4(I4)",1197.0,87.0,160.0,12.0,12400.0,Petrol,5,120.0
Hyundai,I20,"1.4L,4-Cylinder,Inline-4(I4)",1396.0,99.0,180.0,10.0,15400.0,Petrol/Hybrid,5,250.0
Hyundai,Elantra,"2.0L,4-Cylinder,Inline-4(I4)",1999.0,147.0,200.0,9.0,18400.0,Petrol/Hybrid,5,250.0
Mahindra,Xuv500,"2.2L,4-Cylinder,Inline-4(I4)",2179.0,155.0,180.0,10.0,18400.0,Diesel,7,400.0
Mahindra,Scorpio,"2.2L,4-Cylinder,Inline-4(I4)",2179.0,140.0,160.0,11.0,16400.0,Diesel,7,280.0
Mahindra,Thar,"2.0L,4-Cylinder,Inline-4(I4)",1997.0,150.0,180.0,10.0,20400.0,Petrol/Diesel,4,320.0
Maruti Suzuki,Swift,"1.2L,4-Cylinder,Inline-4(I4)",1197.0,83.0,160.0,12.0,10400.0,Petrol,5,113.0
Maruti Suzuki,Dzire,"1.2L,4-Cylinder,Inline-4(I4)",1197.0,83.0,160.0,12.0,11400.0,Petrol/Diesel,5,113.0
Maruti Suzuki,Brezza,"1.5L,4-Cylinder,Inline(I4)",1462.0,103.0,180.0,11.0,14400.0,Petrol,5,200.0
Toyota,Prius Prime,"2.0L,4-Cylinder,With Hybrid System",1998.0,220.0,180.0,6.0,31100.0,Plug-in Hybrid,5,220.0
Toyota,Gr Corolla,"1.6L,Turbocharged Inline-3",1618.0,300.0,230.0,5.0,36995.0,Petrol,5,370.0
Toyota,Land Cruiser 300,"3.3L,V6,Twin Turbo Diesel",3346.0,305.0,210.0,6.0,58500.0,Petrol/Diesel,7,650.0
Toyota,Tundra I-Force Max,"3.5L,V6,Hybrid Twin-Turbo",3445.0,437.0,180.0,6.0,56000.0,Hybrid,5,750.0
Toyota,Corolla Hatchback Xse,"2.0L,Inline-4",1987.0,169.0,190.0,8.0,25390.0,Petrol,5,250.0
Toyota,Mirai,"Hydrogen Fuel Cell,Electric Motor",1.0,152.0,180.0,9.0,49500.0,Hydrogen,5,335.0
Toyota,Hilux Gr Sport,"2.8L,Turbo,Diesel",2755.0,224.0,170.0,10.0,50000.0,Petrol/Diesel,5,500.0
Toyota,Alphard Executive Lounge,"2.5L,Inline-4,Hybrid,Or 3.5L,V6",2494.0,296.0,180.0,8.0,60000.0,Petrol,7,400.0
Toyota,Fortuner Gr Sport,"2.8L,Turbo,Diesel",2755.0,204.0,175.0,10.0,55000.0,Diesel/Petrol,7,500.0
Toyota,Innova Hycross,2.0L Hybrid,1987.0,184.0,165.0,9.0,40000.0,Hybrid,7,250.0
Toyota,Coaster,"4.0L,Diesel",4009.0,134.0,120.0,7.0,70000.0,Diesel,20,500.0
Toyota,Urban Cruiser Taisor,"1.5L,Hybrid",1490.0,114.0,170.0,11.0,25000.0,Petrol,5,130.0
Toyota,Aygo X,"1.0L,Inline-3",998.0,71.0,160.0,14.0,18000.0,Petrol,4,93.0
Toyota,Hilux Revo Rocco,"2.8L,Turbo,Diesel",2755.0,204.0,175.0,10.0,50000.0,Diesel,5,500.0
Toyota,Proace Verso Electric,Electric Motor,75.0,136.0,130.0,13.0,55000.0,Electric,7,280.0
Toyota,Century Suv,"3.5L,V6,Plug In Hybrid",3456.0,406.0,200.0,6.0,170000.0,Petrol,5,500.0
Toyota,Corolla Sedan Hybrid,"1.8L,Hybrid",1798.0,134.0,180.0,10.0,24000.0,Hybrid,5,300.0
Toyota,Bz3,Electric Motor,65.0,241.0,160.0,7.0,35000.0,Electric,5,340.0
Toyota,Gr Yaris,"1.6L,Turbocharged Inline-3",1618.0,268.0,230.0,5.0,45000.0,Petrol,4,390.0
Hyundai,Santa Fe,1.6L Petrol + Plug In Hybrid System,1600.0,253.0,180.0,9.0,50000.0,Petrol/Hybrid,7,420.0
Hyundai,Ioniq 5,Electric Motor,72.0,225.0,185.0,7.0,41000.0,Electric,5,350.0
Hyundai,Santa Cruz,2.5L Turbocharged Inline-4,2500.0,281.0,215.0,6.0,40799.0,Petrol,5,400.0
Hyundai,Kona,1.6L Petrol,1591.0,147.0,185.0,10.0,20500.0,Petrol/EV,5,400.0
Hyundai,Elantra,2.0L Inline-4,2000.0,147.0,210.0,8.0,19950.0,Petrol/Hybrid,5,250.0
Nissan,Urvan,2.5L Turbo Diese,Unknown,2488.0,140.0,14.0,28000.0,Diesel,15,356.0
Hyundai,Ioniq 6,Electric Motor,53.0,320.0,185.0,5.0,41450.0,Electric,5,350.0
Hyundai,Tucson,2.5L Inline-4,2500.0,187.0,180.0,6.0,30500.0,Petrol/Hybrid,5,400.0
Hyundai,Palisade,3.8L V6,3800.0,291.0,240.0,6.0,52000.0,Petrol,7,355.0
Hyundai,Sonata,2.5L Inline-4,2500.0,191.0,240.0,8.0,25000.0,Petrol/Hybrid,5,250.0
Hyundai,Accent,1.6L Inline-4,1600.0,120.0,180.0,9.0,15000.0,Petrol,5,151.0
Hyundai,Venue,1.6L Inline-4,1600.0,121.0,180.0,9.0,18000.0,Petrol,5,240.0
Hyundai,Kona Electric,Electric Motor,39.0,200.0,200.0,6.0,40000.0,Electric,5,395.0
